Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC-highrate,26.4458008,0.9520242,0.040858,2432906.0352,188193
HAC-lowrate,26.3249664,0.9518869,0.0425592,1524944.0768,130122
