Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC-highrate,31.5231514,0.9036886,0.1153168,3558866.944,238351
HAC-lowrate,31.3790035,0.903459,0.1189712,2089707.1104,163975
