Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC-highrate,35.4915924,0.9860504,0.0126323,1753219.072,127611
HAC-lowrate,34.7256927,0.9837951,0.0156229,1080662.4256,82370
