Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC-highrate,35.6688728,0.9810752,0.0185425,1997012.992,128854
HAC-lowrate,35.0378571,0.9789792,0.0217885,1313656.0128,106010
