Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC-highrate,37.8689346,0.983838,0.0237683,1020054.7328,62248
HAC-lowrate,37.1095505,0.9814867,0.0286784,669201.2032,39299
