Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC-highrate,35.3031387,0.9861924,0.0125956,1608830.1568,111752
HAC-lowrate,34.8955841,0.9849692,0.0141863,990170.3168,70576
