Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC-highrate,36.7093277,0.9918905,0.0075859,1063256.064,83890
HAC-lowrate,35.9191742,0.9903358,0.0095429,700763.3408,54533
