Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC-highrate,30.8383617,0.905672,0.2616119,5277483.008,448521
HAC-lowrate,30.4393959,0.902317,0.2723858,3306474.7008,380598
