Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC-highrate,29.8491783,0.9062452,0.2545068,8044150.784,800442
HAC-lowrate,29.5277023,0.9025214,0.2650948,5815821.9264,757083
