Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC-highrate,25.1073151,0.7424726,0.2588055,41048080.384,4462216
HAC-lowrate,25.0472488,0.7415894,0.2642056,28876944.1792,4337034
