Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC-highrate,26.5885735,0.7628535,0.2635286,26482520.8832,2811861
HAC-lowrate,26.5819645,0.7618363,0.2692434,18989711.36,3139864
