Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC-highrate,21.2706013,0.5747946,0.3767022,28892463.104,3111616
HAC-lowrate,21.2626057,0.572156,0.3812912,20542232.9856,3030281
