Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC-highrate,27.4615631,0.8488841,0.1394164,33734157.9264,3159104
HAC-lowrate,27.2805805,0.8419042,0.1514979,23796278.8864,2783590
