Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC-highrate,31.6308594,0.9295087,0.1216748,12658094.8992,1160861
HAC-lowrate,31.1647701,0.9230514,0.1306984,8445755.392,955774
