Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC-highrate,31.9047031,0.9261015,0.1975124,8234886.7584,638887
HAC-lowrate,31.5470905,0.9211181,0.2078761,5796528.128,613008
