Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC-highrate,32.9719124,0.9480926,0.1801753,13334216.704,1110454
HAC-lowrate,32.2754822,0.9419372,0.1894576,8976754.2784,1016354
