Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC-highrate,29.7447491,0.917532,0.1838127,10949964.5952,910833
HAC-lowrate,29.347311,0.9105615,0.1951433,7614024.9088,786790
