Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC-highrate,23.2636204,0.6480887,0.3448641,31086503.5264,3016897
HAC-lowrate,23.3030071,0.6446206,0.3564054,21010422.1696,2835570
