Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC-highrate,26.0207634,0.8831319,0.1471665,13024677.0688,1163467
HAC-lowrate,25.8835316,0.8775318,0.1575988,9709813.76,951290
