Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
HAC-highrate,22.7802544,0.8230955,0.2065995,10554232.0128,888307
HAC-lowrate,22.1893082,0.8151628,0.2155594,7277641.728,746258
